name,datetime,min,max,mean,count,sum,std,median,majority,minority,unique,histogram,valid_percent,masked_pixels,valid_pixels,percentile_2,percentile_98,date
World,2016-12,0.21638847312530896,207.09559432166358,4.598311479914556,10761.0,49482.42983536054,8.602191323825924,2.0704360038043492,0.9730329234236004,0.21638847312530896,10724.0,"[[10412.0, 250.0, 59.0, 16.0, 14.0, 4.0, 3.0, 0.0, 2.0, 1.0], [0.21638847312530896, 20.904309057979138, 41.59222964283296, 62.28015022768679, 82.96807081254062, 103.65599139739444, 124.34391198224827, 145.0318325671021, 165.71975315195593, 186.40767373680976, 207.09559432166358]]",16.61,54039.0,10761.0,0.24882896049553238,26.467299043662862,2016-12-01
World,2016-11,0.21671906183993286,206.8330094098613,4.68354278258406,10827.0,50708.71770703761,8.557778795153396,2.076426841990022,0.9730329234236004,0.21671906183993286,10790.0,"[[10444.0, 284.0, 61.0, 17.0, 12.0, 4.0, 2.0, 0.0, 2.0, 1.0], [0.21671906183993286, 20.878348096642068, 41.5399771314442, 62.20160616624634, 82.86323520104848, 103.52486423585061, 124.18649327065276, 144.8481223054549, 165.50975134025703, 186.17138037505916, 206.8330094098613]]",16.71,53973.0,10827.0,0.24848844244210297,28.293163723306513,2016-11-01
World,2016-10,0.21641727319011594,207.59707857746915,4.9210186757629355,11231.0,55267.96074749353,8.805365033582701,2.122480302532382,0.9730329234236004,0.21641727319011594,11194.0,"[[10786.0, 327.0, 81.0, 17.0, 11.0, 4.0, 2.0, 0.0, 2.0, 1.0], [0.21641727319011594, 20.95448340361802, 41.692549534045924, 62.43061566447383, 83.16868179490173, 103.90674792532964, 124.64481405575754, 145.38288018618542, 166.12094631661333, 186.85901244704124, 207.59707857746915]]",17.33,53569.0,11231.0,0.2502998115310103,29.796460407219847,2016-10-01
World,2016-09,0.2165644611739538,207.3317782784265,5.153969263526753,12219.0,62976.3504310334,9.131595488703063,2.2083810881711057,0.9730329234236004,0.2165644611739538,12182.0,"[[11697.0, 378.0, 97.0, 25.0, 12.0, 5.0, 2.0, 0.0, 2.0, 1.0], [0.2165644611739538, 20.928085842899208, 41.63960722462446, 62.35112860634972, 83.06264998807498, 103.77417136980023, 124.48569275152549, 145.19721413325075, 165.908735514976, 186.62025689670125, 207.3317782784265]]",18.86,52581.0,12219.0,0.24848844244210297,31.474252937068464,2016-09-01
World,2016-08,0.21639008633952064,206.98546570702447,5.9368768994530745,12830.0,76170.13061998294,10.090933590036743,2.6236444532618535,0.9730329234236004,0.21639008633952064,12793.0,"[[12133.0, 513.0, 123.0, 30.0, 15.0, 9.0, 3.0, 1.0, 2.0, 1.0], [0.21639008633952064, 20.893297648408016, 41.570205210476516, 62.247112772545016, 82.9240203346135, 103.600927896682, 124.2778354587505, 144.954743020819, 165.6316505828875, 186.30855814495598, 206.98546570702447]]",19.8,51970.0,12830.0,0.2544481232416486,35.51418243057683,2016-08-01
World,2016-07,0.21655831920550897,264.93889332638514,6.225535920597921,13173.0,82008.98468203642,10.891764179121141,2.7612219133358753,0.9730329234236004,0.21655831920550897,13136.0,"[[12687.0, 386.0, 55.0, 25.0, 9.0, 4.0, 3.0, 3.0, 0.0, 1.0], [0.21655831920550897, 26.688791819923473, 53.16102532064144, 79.6332588213594, 106.10549232207737, 132.57772582279534, 159.04995932351332, 185.52219282423127, 211.99442632494925, 238.46665982566722, 264.93889332638514]]",20.33,51627.0,13173.0,0.25258504107566376,35.93983754532287,2016-07-01
World,2016-06,0.21638579536446254,207.11343983372262,5.65222106342834,12862.0,72698.86731781531,9.655698030160742,2.5344884660911617,0.9730329234236004,0.21638579536446254,12825.0,"[[12250.0, 451.0, 103.0, 24.0, 20.0, 7.0, 3.0, 1.0, 2.0, 1.0], [0.21638579536446254, 20.90609119920028, 41.59579660303609, 62.28550200687191, 82.97520741070772, 103.66491281454354, 124.35461821837936, 145.04432362221516, 165.734029026051, 186.42373442988682, 207.11343983372262]]",19.85,51938.0,12862.0,0.2515305602650259,32.671516669975425,2016-06-01
World,2016-05,0.21642804117928224,207.2337411457413,5.2041881322472205,11928.0,62075.55604144485,9.101100376681917,2.394135966302546,0.9730329234236004,0.21642804117928224,11891.0,"[[11439.0, 369.0, 75.0, 20.0, 13.0, 5.0, 3.0, 0.0, 3.0, 1.0], [0.21642804117928224, 20.918159351635484, 41.61989066209169, 62.321621972547895, 83.0233532830041, 103.72508459346031, 124.4268159039165, 145.1285472143727, 165.8302785248289, 186.53200983528512, 207.2337411457413]]",18.41,52872.0,11928.0,0.25026777974683884,29.333472890811166,2016-05-01
World,2016-04,0.2166909590868606,207.61991030010665,4.820880295048563,11138.0,53694.964726250895,8.496571102833265,2.239237403199842,0.9730329234236004,0.2166909590868606,11101.0,"[[10764.0, 270.0, 67.0, 17.0, 11.0, 4.0, 2.0, 0.0, 2.0, 1.0], [0.2166909590868606, 20.95701289318884, 41.69733482729082, 62.437656761392795, 83.17797869549477, 103.91830062959676, 124.65862256369873, 145.3989444978007, 166.13926643190268, 186.87958836600467, 207.61991030010665]]",17.19,53662.0,11138.0,0.25743734214101716,27.33480432361967,2016-04-01
World,2016-03,0.21671906183993284,207.09751514827917,4.706140248461288,10869.0,51151.038360525745,8.55832533567454,2.139608202160826,0.9730329234236004,0.21671906183993284,10832.0,"[[10510.0, 260.0, 60.0, 17.0, 12.0, 5.0, 2.0, 0.0, 2.0, 1.0], [0.21671906183993284, 20.904798670483856, 41.59287827912778, 62.280957887771706, 82.96903749641564, 103.65711710505957, 124.34519671370349, 145.0332763223474, 165.72135593099134, 186.40943553963527, 207.09751514827917]]",16.77,53931.0,10869.0,0.2502171816285812,27.397092376789978,2016-03-01
World,2016-02,0.21637551299160554,206.81381263578652,4.581142743364487,10767.0,49325.16391780543,8.815661418409423,2.0852911923237722,0.9730329234236004,0.21637551299160554,10730.0,"[[10432.0, 237.0, 58.0, 14.0, 13.0, 5.0, 4.0, 0.0, 2.0, 2.0], [0.21637551299160554, 20.876119225271093, 41.53586293755058, 62.19560664983007, 82.85535036210956, 103.51509407438905, 124.17483778666853, 144.83458149894804, 165.49432521122753, 186.15406892350703, 206.81381263578652]]",16.62,54033.0,10767.0,0.24856087400760435,26.96905880752683,2016-02-01
World,2016-01,0.21671906183993284,207.19226494006668,4.624235474673331,10749.0,49705.90711726364,8.714092741052296,2.083066769987297,0.9730329234236004,0.21671906183993284,10712.0,"[[10406.0, 244.0, 58.0, 15.0, 14.0, 5.0, 4.0, 0.0, 2.0, 1.0], [0.21671906183993284, 20.914273649662604, 41.61182823748528, 62.30938282530795, 83.00693741313063, 103.70449200095331, 124.40204658877597, 145.09960117659864, 165.79715576442132, 186.494710352244, 207.19226494006668]]",16.59,54051.0,10749.0,0.2478436726081034,27.208813319291693,2016-01-01
World,2015-12,0.21763758755084409,204.728056361848,4.7077114370030655,10641.0,50094.75740114962,8.48690745173977,2.2748625272707326,0.9868057479323411,0.21763758755084409,10604.0,"[[10294.0, 257.0, 49.0, 19.0, 12.0, 6.0, 1.0, 0.0, 1.0, 2.0], [0.21763758755084409, 20.668679464980556, 41.11972134241027, 61.57076321983998, 82.02180509726969, 102.47284697469941, 122.92388885212911, 143.37493072955886, 163.82597260698856, 184.27701448441826, 204.728056361848]]",16.42,54159.0,10641.0,0.24795500894552186,27.409015438169902,2015-12-01
World,2015-11,0.2173684261209229,204.32102875756797,4.82780525841137,10735.0,51826.48944904606,8.503589026327319,2.3116069043445124,0.9868057479323413,0.2173684261209229,10698.0,"[[10357.0, 285.0, 55.0, 20.0, 8.0, 6.0, 1.0, 0.0, 1.0, 2.0], [0.2173684261209229, 20.62773445926563, 41.03810049241033, 61.448466525555034, 81.85883255869975, 102.26919859184444, 122.67956462498915, 143.08993065813385, 163.50029669127855, 183.91066272442325, 204.32102875756797]]",16.57,54065.0,10735.0,0.24698391765343186,28.20920041139846,2015-11-01
World,2015-10,0.21742020925179012,734.2938784528635,5.203601157802605,11189.0,58223.09335465334,12.870751154406726,2.404785423482472,0.9868057479323411,0.21742020925179012,11152.0,"[[11156.0, 28.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 1.0], [0.21742020925179012, 73.62506603361295, 147.03271185797414, 220.4403576823353, 293.84800350669644, 367.2556493310576, 440.6632951554188, 514.07094097978, 587.4785868041412, 660.8862326285024, 734.2938784528635]]",17.27,53611.0,11189.0,0.25238952699277145,30.429846384533196,2015-10-01
World,2015-09,0.2175258317687862,1408.013581934217,5.747745447703978,12088.0,69478.74697184569,22.352425954533437,2.4231787343740674,0.9868057479323413,0.2175258317687862,12051.0,"[[12075.0, 7.0, 2.0, 1.0, 0.0, 1.0, 0.0, 0.0, 0.0, 2.0], [0.2175258317687862, 140.9971314420136, 281.7767370522584, 422.5563426625032, 563.3359482727479, 704.1155538829927, 844.8951594932375, 985.6747651034824, 1126.4543707137273, 1267.233976323972, 1408.013581934217]]",18.65,52712.0,12088.0,0.2524095254492612,32.74605260527798,2015-09-01
World,2015-08,0.21744787903931262,339.9825813842593,5.903529151576585,12686.0,74892.17081690056,10.71624766504964,2.692250963450306,0.9868057479323411,0.21744787903931262,12649.0,"[[12418.0, 207.0, 43.0, 12.0, 2.0, 1.0, 2.0, 0.0, 0.0, 1.0], [0.21744787903931262, 34.19396122956131, 68.17047458008331, 102.1469879306053, 136.12350128112732, 170.10001463164932, 204.0765279821713, 238.0530413326933, 272.0295546832153, 306.0060680337373, 339.9825813842593]]",19.58,52114.0,12686.0,0.2587553951466797,34.75020223112317,2015-08-01
World,2015-07,0.2176366876711712,219.92685815737548,6.011474815053536,13004.0,78173.21849495619,10.341871465612282,2.705945926648974,0.9868057479323411,0.2176366876711712,12967.0,"[[12356.0, 500.0, 82.0, 36.0, 15.0, 8.0, 2.0, 2.0, 1.0, 2.0], [0.2176366876711712, 22.1885588346416, 44.159480981612035, 66.13040312858247, 88.1013252755529, 110.07224742252332, 132.04316956949376, 154.01409171646418, 175.9850138634346, 197.95593601040503, 219.92685815737548]]",20.07,51796.0,13004.0,0.26184140952449825,35.21907600746039,2015-07-01
World,2015-06,0.21765312234095818,204.33846576976,5.703317269109441,12647.0,72129.8535024271,9.640466967781869,2.562676549356634,0.9868057479323413,0.21765312234095818,12610.0,"[[12013.0, 482.0, 90.0, 32.0, 14.0, 10.0, 2.0, 1.0, 1.0, 2.0], [0.21765312234095818, 20.629734387082866, 41.04181565182477, 61.45389691656668, 81.86597818130859, 102.2780594460505, 122.6901407107924, 143.1022219755343, 163.5143032402762, 183.92638450501812, 204.33846576976]]",19.52,52153.0,12647.0,0.25664840776978637,32.652668492677215,2015-06-01
